: X/Open regex tests 1999-04-23
#
# contributors:
#
#	Glenn Fowler	gsf@research.att.com
#	David Korn	dgk@research.att.com
#	Tom Lord	lord@cygnus.com
#	Doug McIlroy	doug@research.bell-labs.com
#	Henry Spencer	henry@zoo.toronto.edu
#	Andrew Hume	andrew@research.att.com
#
# input lines may be blank, or comment beginning with #,
# or a test spec, four fields separated by 1 or more tabs,
# NULL is the empty string, NIL is the 0 pointer
#
#    field 1, what tests to apply, one or more chars
#	test skipped if REG_feature not defined
#
#	B 	basic			BRE
#	E 	REG_EXTENDED		ERE
#	A	REG_AUGMENTED		ARE
#	S	REG_SHELL		SRE
#	K	REG_SHELL|REG_AUGMENTED	KRE
#	L	REG_LITERAL		LRE
#
#	a	REG_LEFT|REG_RIGHT	implicit ^...$
#	b	REG_NOTBOL		lhs does not match ^
#	d	REG_SHELL_DOT		explicit leading . match
#	e	REG_NOTEOL		rhs does not match $
#	f	REG_MULTIPLE		multiple \n separated patterns
#	i	REG_ICASE		ignore case
#	l	REG_LEFT		implicit ^...
#	m	REG_MINIMAL		minimal match
#	n	REG_NEWLINE		explicit \n match
#	p	REG_SHELL_PATH		explicit / match
#	r	REG_RIGHT		implicit ...$
#	s	REG_SHELL_ESCAPED	\ not special
#	x	REG_LENIENT		let some errors slide
#	z	REG_NULL		NULL subexpressions ok
#
#	{				don't report skip if failed until }
#	}				end of { skip
#
#	: comment			comment copied to output
#
#	numb	use numb for nmatch (20 by default)
#
#    field 2, a regular expression.
#
#    field 3, a string to match.
#
#    field 4, outcome.  one of the posix error codes (with REG_
#       deleted) or the match array, a list of (m,n) entries
#	with m and n being first and last+1 positions in string,
#	or NULL if REG_NOSUB is in effect and success is expected.
#	BADPAT is acceptable in place of any regcomp error code
#	and vice versa.
#
#    field 5, optional comment appended to report.
#
#    fields 2 and 3 may contain certain C escape sequences:
#	\n \xhh
#    all successful matches are retried with REG_NOSUB

# basic sanity

BEA	abracadabra$	abracadabracadabra	(7,18)
BEAi	aBrAcAdAbRa$	AbRaCaDaBrA		(0,11)
BEAi	aBrAc		1ABRA2abra3abrac	(11,16)
BEA	a...b		abababbb		(2,7)
BEA	XXXXXX		..XXXXXX		(2,8)

# "null" expressions

#BEA	NIL		NULL	BADPAT		ok, so it's not fair
B	\(\)		()	(0,0)(0,0)
B	\(\)*		()	(0,0)
B	()		()	(0,2)
EA	)		()	(1,2)
EA	\)		()	(1,2)
EA	}		{}	(1,2)
BEA	a]		a]a	(0,2)

A	()*		()	(0,0)
B	\(a		NULL	EPAREN
EA	(a		NULL	EPAREN
B	\)		NULL	EPAREN
B	\{		NULL	EBRACE
EA	{		NULL	EBRACE
B	\}		NULL	EBRACE
B	}		}	(0,1)
EA	\}		}	(0,1)
BEA	\]		]	(0,1)

# null subexpressions

{E	()		NULL	ENULL	NULL subexpressions are supported
BEA	NULL		NULL	ENULL
E	()*		NULL	ENULL
EA	|		NULL	ENULL
EA	(a|)		NULL	ENULL
EA	a||b		NULL	ENULL
E	()ef		NULL	ENULL
E	(a|)*		NULL	ENULL
E	(ab|)*		NULL	ENULL
E	(abc|)ef	NULL	ENULL
}

BEAz	NULL		-	(0,0)
Ez	()*		-	(0,0)
EAz	|		-	(0,0)
EAz	(a|)		-	(0,0)(0,0)
EAz	a||b		-	(0,0)
Ez	()ef		ef	(0,2)(0,0)
Ez	(a|)*		-	(0,0)
Ez	(ab|)*		-	(0,0)
Ez	(abc|)ef	ef	(0,2)(0,0)
EAz	(abc|abcd)(d|)	abcd	(0,4)(0,4)(4,4)

# anchoring

BEA	^abc		xa	NOMATCH
BEA	^a		ax	(0,1)
BEA	\^a		a^a	(1,3)
BEA	a\^		a^	(0,2)
BEA	a$		aa$	NOMATCH
BEA	a$		aa	(1,2)
BEA	a\$		aa	NOMATCH
BEA	a\$		a$	(0,2)
BEA	^$		NULL	(0,0)

B	$^		$^	(0,2)
B	$^		NULL	NOMATCH
EA	$^		$^	NOMATCH
EA	$^		NULL	(0,0)

EA	x^a		x^a	NOMATCH
B	x^a		x^a	(0,3)
EA	$a		$a	NOMATCH
B	$a		$a	(0,2)
EA	^*		a	(0,0)
B	^*		*	(0,1)
EA	(^)*		NULL	(0,0)
EA	^(^)		NULL	(0,0)(0,0)
EA	a($)		aa	(1,2)(2,2)
EA	a*(^a)		aa	(0,1)(0,1)

# \(^\) and \($\)not tested; std allows multiple behaviors

B	\(\^\)		^	(0,1)(0,1)
B	\(\$\)		$	(0,1)(0,1)
B	$*		$$	(0,2)
EA	$*		$$	(0,0)

# implicit anchoring

EAl	a.|b		a			NOMATCH
EAr	a.|b		a			NOMATCH
EAa	a.|b		a			NOMATCH
EAl	a.|b		b			(0,1)
EAr	a.|b		b			(0,1)
EAa	a.|b		b			(0,1)
EAl	a.|b		ab			(0,2)
EAr	a.|b		ab			(0,2)
EAa	a.|b		ab			(0,2)
EAl	a.|b		ba			(0,1)
EAr	a.|b		ba			NOMATCH
EAa	a.|b		ba			NOMATCH

EAl	(a.|b)		a			NOMATCH
EAr	(a.|b)		a			NOMATCH
EAa	(a.|b)		a			NOMATCH
EAl	(a.|b)		b			(0,1)(0,1)
EAr	(a.|b)		b			(0,1)(0,1)
EAa	(a.|b)		b			(0,1)(0,1)
EAr	(a.|b)		ba			NOMATCH
EAa	(a.|b)		ba			NOMATCH

BEAl	b		b			(0,1)
BEAr	b		b			(0,1)
BEAa	b		b			(0,1)
BEAl	b		ba			(0,1)
BEAr	b		ba			NOMATCH
BEAa	b		ba			NOMATCH

Al	((...)*(.....)*)!	aa		(0,2)
Ar	((...)*(.....)*)!	aa		(0,2)
Aa	((...)*(.....)*)!	aa		(0,2)
Al	((...)*(.....)*)!	aaa		(0,2)
Ar	((...)*(.....)*)!	aaa		(1,3)
Aa	((...)*(.....)*)!	aaa		NOMATCH

# longest leftmost match

EA	(..)*(...)*		a	(0,0)
EA	(..)*(...)*		abc	(0,3)(?,?)(0,3)
EA	(..)*(...)*		abcd	(0,4)(2,4)
EA	(..)*(...)*.*		abc	(0,3)(0,2)
EA	((..)*(...)*).*		abc	(0,3)(0,3)(?,?)(0,3)
EA	((...)*(..)*).*		abcd	(0,4)(0,4)(?,?)(2,4)
EA	(...)*(..)*.*		abcd	(0,4)(0,3)
EA	(a|ab)(bc|c)		abc	(0,3)(0,2)(2,3)
EA	(ab|a)(bc|c)		abc	(0,3)(0,2)(2,3)
EA	(ab)c|abc		abc	(0,3)(0,2)
EA	abc|(ab)c		abc	(0,3)

B	\(..\)*\(...\)*		a	(0,0)
B	\(..\)*\(...\)*		abc	(0,3)(?,?)(0,3)
B	\(..\)*\(...\)*		abcd	(0,4)(2,4)
B	\(..\)*\(...\)*.*	abc	(0,3)(0,2)
B	\(\(..\)*\(...\)*\).*	abc	(0,3)(0,3)(?,?)(0,3)

# shortest leftmost match

Bm	abracadabra*	NULL			BADPAT
EAm	abracadabra*	abracadabracadabra	(0,10)
EAm	(abc)+		abcabcabcabcabcabc	(0,3)(0,3)
EAm	(abc)+(abc)+	abcabcabcabcabcabc	(0,6)(0,3)(3,6)
EAm	(abc)+.*(abc)+	abcabcabcabcabcabc	(0,6)(0,3)(3,6)
EAm	(abc)+.*(abc)+	abcxxxxxxabcabc		(0,12)(0,3)(9,12)
EAm	abcd|efg|hi|j	jhiefgabcd		(0,1)
EAm	abcd|efg|hi|j	abcdefghij		(0,4)
EAm	(..)*(...)*	a			(0,0)
EAm	(..)*(...)*	abc			(0,0)
EAm	(..)*(...)*	abcd			(0,0)
EAm	((..)*(...)*).*	abc			(0,0)(0,0)
EAm	((...)*(..)*).*	abcd			(0,0)(0,0)
EAm	(...)*(..)*.*	abcd			(0,0)
EAm	(a|ab)(bc|c)	abc			(0,3)(0,2)(2,3)
EAm	(ab|a)(bc|c)	abc			(0,3)(0,2)(2,3)
EAm	(ab)c|abc	abc			(0,3)(0,2)
EAm	abc|(ab)c	abc			(0,3)

# backreference

B	\(\(.\)\2\)*a	xxbxxyya	(3,8)(5,7)(5,6)
B	\(\(x\)\2\)*a	xxbxxyyaa	(7,8)
B	\(\(x\)*a\)*	xaxxaa		(0,6)(5,6)
B	\(\(a*b*\)\2\)*	abbabbaa	(0,8)(6,8)(6,7)

B	\(.*\)\1\1\(.*\)\2\2\2	aaa	(0,3)(0,1)(3,3)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaa	(0,4)(0,0)(0,1)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaaa	(0,4)(0,0)(0,1)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaaaa	(0,6)(0,2)(6,6)
B	\(.*\)\1\1\(.*\)\2\2\2	aaaaaaa	(0,7)(0,1)(3,4)
B	\(.*\)\1\1\(.*\)\2\{3\}	aaaaaaa	(0,7)(0,1)(3,4)

B	\(.*\)\1*		ababab	(0,6)(0,6)
B	\(.*\)\1*		abABAb	(0,6)(0,6)
B	\(.*\)\1*\1		ababab	(0,6)(0,2)
Bi	\(.*\)\1*\1		abABAb	(0,6)(0,2)
B	\(\(b\)\)*\2		ab	NOMATCH
B	\(\(a\)\)*\(\2\)*\(b\)	ab	(0,2)(0,1)(0,1)(?,?)(1,2)

B	\(\(a\)\(b\)*\2\3\)*	a	(0,0)
B	\(\(a\)\(b\)*\2\3\)*	aa	(0,0)
B	\(\(a\)\(b\)*\2\3\)*	abab	(0,4)(0,4)(0,1)(1,2)
B	\(\(a\)\(b\)*\2\3\)*	ababaab	(0,4)(0,4)(0,1)(1,2)
B	\(\(a\)\(b\)*\2\3\)*	abbab	(0,5)(0,5)(0,1)(2,3)

B	\(\(x\)\2\)*\(\(x\)\4\4\)*	xxxxxxy	(0,6)(4,6)(4,5)

B	[ab]*\(b[ab]*\)\1	baaabaababbaaabaabab	(0,20)(0,10)
B	[ab]*\(b[ab]*\)\1[ab]*	baaabaababbaaabaabab	(0,20)(9,10)

B	a\1			NULL	ESUBREG
B	\(\1\)			NULL	ESUBREG
B	\(.\)\0			NULL	BADESC

# duplications

B	*		*			(0,1)
B	a+		aa+			(1,3)
B	\(*x\)		x*x			(1,3)(1,3)
EA	a{0}b		ab			(1,2)
BEAi	ba*BA*		AaBaAbAa		(2,8)
EA	(a+ba*)*	abaabaaabaaaa		(0,13)(7,13)
EA	((ax)+b(ax)*)*	axbaxaxbaxaxaxbaxaxaxax	(0,23)(12,23)(12,14)(21,23)
EA	(a*)(b?)(b+)b{3}	aaabbbbbbb	(0,10)(0,3)(3,4)(4,7)
EA	(a*)(b{0,1})(b{1,})b{3}	aaabbbbbbb	(0,10)(0,3)(3,4)(4,7)
B	\(a*\)\(b\{0,1\}\)\(b\{1,\}\)b\{3\}	aaabbbbbbb	(0,10)(0,3)(3,4)(4,7)

EA	(a*){1,3}	aaa	(0,3)(0,3)
EA	(a*){2,3}	aaa	(0,3)(3,3)
EA	(a*){1,}	aaa	(0,3)(0,3)
EA	(a*){2}		aaa	(0,3)(3,3)
B	\(a*\)\{1,3\}	aaa	(0,3)(0,3)
B	\(a*\)\{2,3\}	aaa	(0,3)(3,3)
B	\(a*\)\{1,\}	aaa	(0,3)(0,3)
B	\(a*\)\{2\}	aaa	(0,3)(3,3)
B	\(a*\)\{1,3\}\1	aaa	(0,3)(3,3)
B	\(a*\)\{2,3\}\1	aaa	(0,3)(3,3)
B	\(a*\)\{1,\}\1	aaa	(0,3)(3,3)
B	\(a*\)\{2\}\1	aaa	(0,3)(3,3)

EA	*		NULL	BADRPT
EA	+		NULL	BADRPT
EA	?		NULL	BADRPT
EA	(*x)		NULL	BADRPT

EA	a{17		NULL	EBRACE
B	a\{17		NULL	EBRACE
EA	a{2,1}		NULL	BADBR
B	a\{2,1\}	NULL	BADBR
EA	a{9876543210}	NULL	BADBR
EA	a{-1}		NULL	BADBR
EA	a{1,10		NULL	EBRACE
EA	a{1,10u}	NULL	BADBR
B	a\{1,10.\}	NULL	BADBR

# alternations (these tests are not adequate to test an
# optimizing compiler, because many of them can be
# easily converted to simpler expressions, often involving
# character classes)

EA	(a|at|ate|aten)(ten|en|n|d)	atend	(0,5)(0,4)(4,5)
EA	(a|aa|aaa|aaaaa)(aa|aaaa|aaa)	aaaaaa	(0,6)(0,3)(3,6)
EA	(a|a.|a..|a....)(a.|a...|a..)	aaaaaa	(0,6)(0,3)(3,6)
EA	(a*b|b*a)(a*b|b*a)		bbaa	(0,4)(0,3)(3,4)
EA	(ab|((ab)c|abc))c*		abc	(0,3)(0,3)(0,3)(0,2)
EA	((a*b*c*)|(a*c*b*))*		abcacb	(0,6)(3,6)(?,?)(3,6)
EA	(a|(a|a))			a	(0,1)(0,1)
EA	((a|a)|a)			a	(0,1)(0,1)(0,1)
EA	a*(a|aa)			aaaa	(0,4)(3,4)
EA	a*(a.|aa)			aaaa	(0,4)(2,4)
EA	a(b)|c(d)|a(e)f			aef	(0,3)(?,?)(?,?)(1,2)
EA	a(b)|a(b)c			abc	(0,3)(?,?)(1,2)
EA	.*(a|b)?			b	(0,1)
EA	(a|b)?.*			b	(0,1)(0,1)
EA	.*(a|b).*			aa	(0,2)(1,2)
EA	(a|b)c|a(b|c)			ac	(0,2)(0,1)
EA	(a|b)c|a(b|c)			ab	(0,2)(?,?)(1,2)
EA	(a|b)*c|(a|ab)*c		abc	(0,3)(1,2)
EA	(a|b)*c|(a|ab)*c		xc	(1,2)
EA	((a|ab)(bc|c)|abc)		abc	(0,3)(0,3)(0,2)(2,3)
EA	((.a|.ab)(bc.|c.)|abc.)		xabcx	(0,5)(0,5)(0,3)(3,5)
EA	(a|b)*|(c|d)*			cd	(0,2)(?,?)(1,2)
EA	(a.|b.)*|(c.|d.)*		cxdx	(0,4)(?,?)(2,4)
EA	(.a|.b).*|.*(.a|.b)		xa	(0,2)(0,2)
EA	(aa|ba)*a.*(b|bb)		abbb	(0,4)(?,?)(3,4)
EA	(a{1}a|ba)*a.*(b{1}|bb)		abbb	(0,4)(?,?)(3,4)
EA	.*|.*(a|b)?			aa	(0,2)
EA	.*(b|abc)			abc	(0,3)(0,3)
EA	a?(ab|ba)ab			abab	(0,4)(0,2)
EA	a?(ac{0}b|ba)ab			abab	(0,4)(0,2)
EA	ab|abab				aabab	(1,5)
EA	ab|abab				abbabab	(0,2)
EA	aba|bab|bba			baaabbbaba	(5,8)
EA	aba|bab				baaabbbaba	(6,9)

EA	(aa|aaa)*|(a|aaaaa)		a	(0,1)(?,?)(0,1)
EA	(aa|aaa)*|(a|aaaaa)		aa	(0,2)(0,2)
EA	(aa|aaa)*|(a|aaaaa)		aaa	(0,3)(0,3)
EA	(aa|aaa)*|(a|aaaaa)		aaaa	(0,4)(2,4)
EA	(aa|aaa)*|(a|aaaaa)		aaaaa	(0,5)(3,5)
EA	(a.|a..)*|(a|a....)		a	(0,1)(?,?)(0,1)
EA	(a.|.a.)*|(a|.a...)		aa	(0,2)(0,2)
EA	(a.|..a)*|(a|..a..)		aaa	(0,3)(0,3)
EA	(a.|a..)*|(a|...a.)		aaaa	(0,4)(2,4)
EA	(a.|.a.)*|(a|....a)		aaaaa	(0,5)(3,5)

EA	ab|a				xabc	(1,3)
EA	ab|a				xxabc	(2,4)
EA	ab|cd				bc	NOMATCH
EAi	(Ab|cD)*			aBcD	(0,4)(2,4)

# character classes

BEA	[a-z][0-9]		AZ90az90	(5,7)
BEAi	[a-z][0-9]		AZ90az90	(1,3)
BEA	[\z]*			z\		(0,2)
EA	[^a-z]+			a@Z`{z		(1,5)
B	[$[:xdigit:].,]\{1,\}	gfa$1,234.AFG	(1,12)
BEA	[---]			a-b		(1,2)
BEA	[^-]			--a		(2,3)
BEA	[a-]*			--a		(0,3)
BEA	[a-m-]*			--amoma--	(0,4)
BEAx	[b-m-y][b-m-y]*		-abcmxyz-	(2,7)
BEAx	[c-m-b][c-m-b]*		-abcmn-		(2,5)

BEA	[z-a]		NULL	ERANGE
BEA	[^]		NULL	EBRACK
BEA	[^abc		NULL	EBRACK
BEA	[A-Z-a]		NULL	ERANGE
BEA	[a-m-z]		NULL	ERANGE

# BM botches

EA	:::1:::0:|:::1:1:0:	:::0:::1:::1:::0:	(8,17)
EA	:::1:::0:|:::1:1:1:	:::0:::1:::1:::0:	(8,17)

# collating elements

{E	[[:upper:]]		A		(0,1)	[[<element>]] not supported
BEA	[[:lower:]][[:digit:]]	AZ90az90	(5,7)
BEA	[[.a.]-z][[.0.]-9]	AZ90az90	(5,7)
BEAi	[[:upper:]][[:lower:]]	aBCde		(0,2)
EA	[[:lower:]]+		`az{		(1,3)
EA	[[:upper:]]+		@AZ[		(1,3)
EAi	[[=Z=]]+		azZa		(1,3)
BEA	[[=a=]b]*		abc		(0,2)
BEA	[[.-.][.].][.^.]]*	]-^a		(0,3)
BEA	[[-]]			[[-]]		(2,4)

BEA	[]][[.].]][[.].]]	a]]]		(1,4)
EA	[[-[.].]]+		Z[-]^		(1,2)
EA	[[-[.].]]+		Z[]^		(1,3)

BEA	[[=*=]][[=\=]][[=]=]][[===]][[...]][[:punct:]]	*\]=.;	(0,6)

BEA	[[:upper:]-z]	NULL	ERANGE
BEA	[[.a.]-[=b=]]*	NULL	ERANGE
BEA	[[.NULL.]]	NULL	ECOLLATE
BEA	abc[[		NULL	EBRACK
BEA	[^abc		NULL	EBRACK
BEA	[[..]]		NULL	ECOLLATE
BEA	[[.-		NULL	ECOLLATE
BEA	[[.^.]		NULL	EBRACK
BEA	[[		NULL	EBRACK
BEA	[[=		NULL	ECOLLATE
BEA	[[=a		NULL	ECOLLATE
BEA	[[=a=		NULL	ECOLLATE
BEA	[[=a=]		NULL	EBRACK
BEA	[[:greek:]]	NULL	ECTYPE
BEA	[[:upperc:]]	NULL	ECTYPE
BEA	[[:upper=]]	NULL	ECTYPE
BEA	[[:upper:}]	NULL	ECTYPE
BEA	[[=aleph=]]	NULL	ECOLLATE
EAn	[[.\n.]]	\n	(0,1)
}

# metacharacters

B	\$$\^^\\\.()\[]		$$^^\.()[]	(0,10)
EA	\$\^\\\.\{}\(\))\[]	$^\.{}())[]	(0,11)

BEA	\		NULL	EESCAPE
BEA	\\\		NULL	EESCAPE
BEA	[		NULL	EBRACK
EA	(		NULL	EPAREN
BEA	\z		NULL	BADESC

# NOTBOL, NOTEOL, NEWLINE

BEAb	^a		abc	NOMATCH
BEAe	a$		aaa	NOMATCH
BEAen	a$		aa\na	(1,2)
BEA	.		\n	(0,1)
BEAn	.		\n	NOMATCH
BEAn	.*$		a\na	(0,1)
BEA	\n		\n	(0,1)
BEAn	\n		\n	(0,1)
BEAbn	^a		a\na	(2,3)
BEA	[^a]		\n	(0,1)
BEAn	[^a]		\n	NOMATCH
EAn	.^		\na	NOMATCH
EAn	$.		\n	NOMATCH
EAn	$		\n	(0,0)
EAn	\n^		\na	(0,1)
BEA	\na		\na	(0,2)

